央视频道,#genre#
辽宁卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221226061/index.m3u8
山东卫视,http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
山东卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227697/index.m3u8
山东卫视,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221226003/index.m3u8
天津卫视,http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
天津卫视,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227212/index.m3u8
天津卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225808/index.m3u8
东南卫视,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
东南卫视,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
广东卫视,http://223.110.243.161/ott.js.chinamobile.com/PLTV/3/224/3221227591/index.m3u8
广东卫视,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221225906/index.m3u8
深圳卫视,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227624/index.m3u8
深圳卫视,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227695/index.m3u8
深圳卫视,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227695/index.m3u8
深圳卫视,http://223.110.245.156/ott.js.chinamobile.com/PLTV/3/224/3221225997/index.m3u8
休闲频道,#genre#
江苏体育休闲,http://223.110.245.156/ott.js.chinamobile.com/PLTV/3/224/3221225935/index.m3u8
江苏城市,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221225929/index.m3u8
江苏教育,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221225923/index.m3u8
百视通体育,http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221226799/index.m3u8
潮妈辣婆,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227527/index.m3u8
动作电影,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
古装剧场,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
家庭剧场,http://223.110.243.151/ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
惊悚悬疑,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227536/index.m3u8
爱情喜剧,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227548/index.m3u8
精品体育,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227615/index.m3u8
明星大片,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227594/index.m3u8
黑莓电影,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
武侠剧场,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000755/75/index.m3u8?&encrypt=
金庸剧场,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181876/75/index.m3u8?&encrypt=
精品网剧,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000751/75/index.m3u8?&encrypt=
高清大片,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/cctv/gaoqingdapian/600/index.m3u8?&encrypt=
高分影院,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000708/75/index.m3u8?&encrypt=
成龙作品,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5102010211/75/index.m3u8?&encrypt=
周星驰作品,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100144102/75/index.m3u8?&encrypt=
吴京作品,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180867/75/index.m3u8?&encrypt=
